name,bye_week,icon
ÊArizona Cardinals,9,
ÊAtlanta Falcons,11,
ÊBaltimore Ravens,8,
ÊBuffalo Bills,10,
ÊCarolina Panthers,7,
ÊChicago Bears,9,
ÊCincinnati Bengals,9,
ÊCleveland Browns,13,
ÊDallas Cowboys,7,
ÊDenver Broncos,11,
ÊDetroit Lions,10,
ÊGreen Bay Packers,4,
ÊHouston Texans,9,
ÊIndianapolis Colts,10,
ÊJacksonville Jaguars,5,
ÊKansas City Chiefs,5,
ÊLos Angeles Rams,8,
ÊMiami Dolphins,8,
ÊMinnesota Vikings,6,
ÊNew England Patriots,5,
ÊNew Orleans Saints,9,
ÊNew York Giants,8,
ÊNew York Jets,11,
ÊOakland Raiders,10,
ÊPhiladelphia Eagles,4,
ÊPittsburgh Steelers,8,
ÊSan Diego Chargers,11,
ÊSan Francisco 49ers,8,
ÊSeattle Seahawks,5,
ÊTampa Bay Buccaneers,6,
ÊTennessee Titans,13,
ÊWashington Redskins,9,
